minute_key,date,date_iso,phase,phase_detail,os_n_total,os_n_used,os_km_max,os_km_avg,local_n_unique,local_km_max,capture_ratio,os_bin_0-50,local_bin_0-50,capture_bin_0-50,os_bin_50-100,local_bin_50-100,capture_bin_50-100,os_bin_100-150,local_bin_100-150,capture_bin_100-150,os_bin_150-200,local_bin_150-200,capture_bin_150-200,os_bin_200-9999,local_bin_200-9999,capture_bin_200-9999
29445121,20251226,2025-12-26,RTL-SDR,Unknown,22,18,155.744,69.541,0,0.0,0.0,8.260670032124828,0,0.0,4.910238207384915,0,0.0,4.557407926140878,0,0.0,0.27168383434937926,0,,0.0,0,
29445122,20251226,2025-12-26,RTL-SDR,Unknown,19,17,184.958,77.402,0,0.0,0.0,6.722981523664894,0,0.0,4.912060388660138,0,0.0,3.7275357418242496,0,0.0,1.6374223458507178,0,0.0,0.0,0,
29445123,20251226,2025-12-26,RTL-SDR,Unknown,18,14,199.677,69.817,0,0.0,0.0,5.972390491954337,0,0.0,5.481736731440298,0,0.0,1.5842432444175827,0,0.0,0.9616295321877828,0,0.0,0.0,0,
29445124,20251226,2025-12-26,RTL-SDR,Unknown,17,14,151.149,74.404,0,0.0,0.0,5.327569410618607,0,0.0,5.614878954269518,0,0.0,3.0066401273260803,0,0.0,0.05091150778579512,0,,0.0,0,
29445125,20251226,2025-12-26,RTL-SDR,Unknown,20,16,159.072,78.011,0,0.0,0.0,5.799118533982835,0,0.0,5.965587348370107,0,0.0,3.830565141515004,0,0.0,0.40472897613205383,0,,0.0,0,
29445126,20251226,2025-12-26,RTL-SDR,Unknown,21,17,165.032,75.944,0,0.0,0.0,6.624374581105726,0,0.0,6.827163229278023,0,0.0,2.808569897068911,0,0.0,0.7398922925473408,0,0.0,0.0,0,
29445127,20251226,2025-12-26,RTL-SDR,Unknown,17,11,119.27,69.029,0,0.0,0.0,4.580050963476175,0,0.0,4.5729912335422975,0,0.0,1.8469578029815268,0,0.0,0.0,0,,0.0,0,
29445128,20251226,2025-12-26,RTL-SDR,Unknown,13,11,127.48,70.606,0,0.0,0.0,4.340551802512785,0,0.0,4.9114002200648255,0,0.0,1.7480479774223898,0,0.0,0.0,0,,0.0,0,
29445129,20251226,2025-12-26,RTL-SDR,Unknown,14,10,134.895,81.079,0,0.0,0.0,3.126602383721657,0,0.0,3.338511515158361,0,0.0,3.534886101119982,0,0.0,0.0,0,,0.0,0,
29445130,20251226,2025-12-26,RTL-SDR,Unknown,14,10,209.043,82.928,0,0.0,0.0,3.6402819034306018,0,0.0,3.896909149582059,0,0.0,1.465612622166369,0,0.0,0.8444687450202604,0,0.0,0.15272757980070994,0,
29445131,20251226,2025-12-26,RTL-SDR,Unknown,16,12,152.075,70.963,0,0.0,0.0,4.997418000699639,0,0.0,4.061734759249013,0,0.0,2.8847888853302894,0,0.0,0.05605835472105847,0,,0.0,0,
29445132,20251226,2025-12-26,RTL-SDR,Unknown,15,10,161.785,76.102,0,0.0,0.0,3.955571026233347,0,0.0,3.428769227246165,0,0.0,2.2964560628801847,0,0.0,0.3192036836403034,0,,0.0,0,
29445133,20251226,2025-12-26,RTL-SDR,Unknown,14,11,160.587,90.061,0,0.0,0.0,2.805292311458854,0,0.0,2.931990444746549,0,0.0,3.91625081269919,0,0.0,1.3464664310954069,0,0.0,0.0,0,
29445134,20251226,2025-12-26,RTL-SDR,Unknown,14,9,170.673,95.743,0,0.0,0.0,2.39051443870721,0,0.0,2.521957492430514,0,0.0,3.303205499095815,0,0.0,0.784322569766461,0,0.0,0.0,0,
29445135,20251226,2025-12-26,RTL-SDR,Unknown,16,13,150.377,79.268,0,0.0,0.0,3.813256051344026,0,0.0,6.603835425585251,0,0.0,2.5689994528016795,0,0.0,0.013909070269043089,0,,0.0,0,
